iter	Passed	Remaining
409	3641	5240
410	3650	5231
411	3657	5220
412	3666	5211
413	3674	5200
414	3682	5191
415	3690	5180
416	3698	5170
417	3705	5159
418	3713	5149
419	3721	5139
420	3729	5129
421	3737	5119
422	3746	5110
423	3753	5099
424	3761	5089
425	3768	5078
426	3777	5068
427	3784	5058
428	3792	5048
429	3800	5037
430	3808	5028
431	3816	5017
432	3824	5007
433	3831	4997
434	3839	4986
435	3847	4976
436	3854	4965
437	3863	4956
438	3870	4946
439	3879	4937
440	3887	4927
441	3895	4918
442	3903	4907
443	3911	4897
444	3918	4887
445	3927	4878
446	3934	4867
447	3942	4857
448	3951	4848
449	3959	4839
450	3967	4830
451	3976	4820
452	3984	4811
453	3993	4802
454	4001	4793
455	4010	4784
456	4018	4775
457	4027	4765
458	4035	4755
459	4043	4746
460	4051	4736
461	4060	4728
462	4067	4717
463	4076	4709
464	4084	4699
465	4092	4690
466	4100	4680
467	4109	4671
468	4117	4661
469	4125	4651
470	4132	4641
471	4140	4632
472	4148	4622
473	4156	4612
474	4163	4602
475	4171	4592
476	4179	4582
477	4187	4572
478	4195	4562
479	4202	4552
480	4210	4542
481	4217	4532
482	4225	4523
483	4232	4512
484	4240	4502
485	4247	4492
486	4255	4482
487	4262	4472
488	4270	4462
489	4277	4452
490	4285	4442
491	4292	4432
492	4301	4423
493	4312	4417
494	4322	4409
495	4331	4401
496	4340	4392
497	4348	4383
498	4356	4373
499	4363	4363
500	4371	4354
501	4378	4343
502	4386	4334
503	4395	4325
504	4405	4318
505	4414	4309
506	4423	4300
507	4430	4290
508	4439	4282
509	4446	4272
510	4455	4263
511	4463	4253
512	4471	4245
513	4479	4235
514	4487	4226
515	4495	4216
516	4503	4207
517	4511	4197
518	4519	4188
519	4527	4178
520	4535	4169
521	4543	4160
522	4550	4150
523	4558	4141
524	4566	4131
525	4574	4121
526	4582	4112
527	4589	4102
528	4597	4093
529	4605	4084
530	4613	4074
531	4621	4065
532	4628	4055
533	4636	4046
534	4645	4037
535	4654	4029
536	4662	4019
537	4670	4010
538	4677	4000
539	4685	3990
540	4692	3981
541	4700	3972
542	4707	3962
543	4715	3952
544	4722	3942
545	4730	3933
546	4738	3924
547	4746	3915
548	4753	3905
549	4761	3895
550	4769	3886
551	4776	3876
552	4783	3866
553	4791	3857
554	4799	3848
555	4807	3838
556	4814	3829
557	4822	3819
558	4829	3810
559	4837	3800
560	4844	3791
561	4852	3781
562	4860	3772
563	4867	3762
564	4874	3753
565	4882	3743
566	4889	3734
567	4897	3724
568	4904	3715
569	4912	3705
570	4919	3696
571	4926	3686
572	4934	3677
573	4942	3668
574	4951	3660
575	4959	3650
576	4967	3641
577	4975	3632
578	4984	3623
579	4991	3614
580	5000	3606
581	5008	3596
582	5016	3588
583	5024	3579
584	5032	3570
585	5040	3561
586	5048	3552
587	5056	3543
588	5065	3534
589	5074	3526
590	5082	3517
591	5090	3508
592	5098	3499
593	5106	3490
594	5113	3480
595	5121	3471
596	5129	3462
597	5137	3453
598	5144	3444
599	5152	3434
600	5159	3425
601	5166	3416
602	5174	3406
603	5181	3397
604	5188	3387
605	5196	3378
606	5204	3369
607	5211	3359
608	5219	3351
609	5227	3342
610	5234	3332
611	5242	3323
612	5250	3314
613	5257	3305
614	5264	3295
615	5271	3286
616	5279	3277
617	5286	3268
618	5294	3258
619	5301	3249
620	5309	3240
621	5317	3231
622	5324	3222
623	5332	3213
624	5339	3203
625	5347	3194
626	5354	3185
627	5362	3176
628	5370	3167
629	5377	3158
630	5384	3148
631	5392	3139
632	5401	3131
633	5410	3123
634	5417	3113
635	5425	3105
636	5432	3095
637	5440	3086
638	5447	3077
639	5455	3068
640	5462	3059
641	5469	3049
642	5477	3040
643	5484	3031
644	5492	3023
645	5499	3013
646	5507	3004
647	5514	2995
648	5522	2986
649	5529	2977
650	5537	2968
651	5544	2959
652	5552	2950
653	5560	2941
654	5568	2932
655	5576	2924
656	5583	2914
657	5590	2905
658	5598	2896
659	5606	2888
